,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
16733,237,584,2403,2198,128,460,1384,1223,6389396,5405633,237,128
16734,256,680,2557,2257,147,475,1415,1281,6389820,5405961,256,147
16735,245,660,2548,2278,146,485,1384,1228,6390235,5406300,245,146
16736,245,569,2444,2246,148,442,1392,1304,6390559,5406594,245,148
16737,256,630,2511,2280,144,461,1396,1252,6390933,5406911,256,144
16738,216,584,2512,2312,137,480,1470,1325,6391301,5407254,216,137
16739,228,561,2373,2187,135,456,1412,1243,6391634,5407575,228,135
16740,229,621,2507,2290,156,464,1412,1286,6392026,5407883,229,156
16741,209,559,2451,2237,141,456,1437,1327,6392376,5408198,209,141
16742,235,604,2399,2183,131,467,1309,1192,6392745,5408534,235,131
16743,210,608,2453,2228,151,451,1410,1305,6393143,5408834,210,151
16744,237,638,2535,2298,130,455,1334,1171,6393544,5409159,237,130
16745,232,608,2447,2209,124,431,1372,1251,6393920,5409466,232,124
16746,200,610,2450,2232,146,480,1434,1253,6394330,5409800,200,146
16747,225,644,2482,2209,136,445,1388,1255,6394749,5410109,225,136
16748,254,622,2507,2273,129,455,1326,1204,6395117,5410435,254,129
16749,215,622,2462,2254,151,472,1384,1196,6395524,5410756,215,151
16750,205,596,2457,2188,137,476,1385,1221,6395915,5411095,205,137
16751,236,643,2545,2268,143,448,1391,1260,6396322,5411400,236,143
16752,232,615,2496,2252,142,471,1401,1282,6396705,5411729,232,142
16753,245,569,2431,2254,139,482,1435,1285,6397029,5412072,245,139
16754,249,625,2467,2218,143,451,1381,1232,6397405,5412380,249,143
16755,231,615,2454,2207,135,449,1379,1263,6397789,5412694,231,135
16756,219,599,2512,2320,170,464,1433,1260,6398169,5412988,219,170
16757,238,640,2448,2204,140,463,1410,1270,6398571,5413311,238,140
16758,229,629,2506,2230,146,449,1306,1171,6398971,5413614,229,146
16759,220,575,2362,2161,125,466,1417,1264,6399326,5413955,220,125
16760,246,639,2503,2278,158,457,1365,1223,6399719,5414254,246,158
16761,242,615,2420,2211,141,467,1385,1238,6400092,5414580,242,141
16762,232,593,2423,2192,160,455,1353,1198,6400453,5414875,232,160
16763,238,633,2423,2174,141,450,1391,1272,6400848,5415184,238,141
16764,241,599,2457,2265,150,434,1411,1335,6401206,5415468,241,150
16765,213,599,2491,2261,133,451,1387,1266,6401592,5415786,213,133
16766,233,644,2509,2251,140,470,1416,1273,6402003,5416116,233,140
16767,217,589,2441,2222,133,480,1386,1181,6402375,5416463,217,133
16768,254,644,2471,2212,142,421,1338,1226,6402765,5416742,254,142
16769,225,578,2449,2249,151,473,1386,1199,6403118,5417064,225,151
16770,212,627,2569,2323,124,461,1401,1241,6403533,5417401,212,124
16771,198,634,2483,2250,149,473,1462,1306,6403969,5417725,198,149
16772,245,591,2477,2257,126,471,1487,1357,6404315,5418070,245,126
16773,238,584,2393,2213,127,497,1427,1265,6404661,5418440,238,127
16774,243,660,2495,2214,141,521,1503,1330,6405078,5418820,243,141
16775,243,573,2393,2190,149,490,1449,1307,6405408,5419161,243,149
16776,206,616,2560,2315,135,478,1444,1307,6405818,5419504,206,135
16777,224,631,2453,2213,143,451,1419,1275,6406225,5419812,224,143
16778,216,587,2608,2418,135,456,1355,1223,6406596,5420133,216,135
16779,223,601,2492,2269,140,491,1417,1266,6406974,5420484,223,140
16780,225,668,2553,2306,142,473,1414,1277,6407417,5420815,225,142
16781,237,615,2405,2168,123,447,1517,1407,6407795,5421139,237,123
16782,219,620,2450,2231,176,461,1364,1210,6408196,5421424,219,176
16783,248,601,2423,2207,133,481,1399,1280,6408549,5421772,248,133
16784,234,587,2422,2217,134,481,1437,1303,6408902,5422119,234,134
16785,227,640,2483,2228,151,468,1359,1205,6409315,5422436,227,151
